央视频道,#genre#
东南卫视,http://naslmd2.myqnapcloud.com:4022/rtp/239.3.1.156:8148?$北京联通
东南卫视高清,http://idc.zymok.cn:10000/rtp/239.77.1.104:5146
广东卫视,http://idc.zymok.cn:10000/rtp/239.77.1.2:5146
广东卫视,http://naslmd2.myqnapcloud.com:4022/rtp/239.3.1.142:8048?$北京联通
广东卫视超清,http://idc.zymok.cn:10000/rtp/239.77.0.166:5146
广东卫视高清,http://idc.zymok.cn:10000/rtp/239.77.0.84:5146
贵州卫视,http://idc.zymok.cn:10000/rtp/239.77.1.61:5146
贵州卫视,http://naslmd2.myqnapcloud.com:4022/rtp/239.3.1.149:8076?$北京联通
贵州卫视高清,http://idc.zymok.cn:10000/rtp/239.77.0.230:5146
河北卫视,http://idc.zymok.cn:10000/rtp/239.77.1.60:5146
河北卫视,http://naslmd2.myqnapcloud.com:4022/rtp/239.3.1.148:8072?$北京联通
河北卫视高清,http://idc.zymok.cn:10000/rtp/239.77.0.148:5146
河南卫视,http://idc.zymok.cn:10000/rtp/239.77.1.58:5146
河南卫视高清,http://idc.zymok.cn:10000/rtp/239.77.0.17:5146
黑龙江卫视,http://idc.zymok.cn:10000/rtp/239.77.1.71:5146
黑龙江卫视,http://naslmd2.myqnapcloud.com:4022/rtp/239.3.1.133:8016?$北京联通
黑龙江卫视超清,http://idc.zymok.cn:10000/rtp/239.77.0.124:5146
黑龙江卫视高清,http://idc.zymok.cn:10000/rtp/239.77.0.93:5146
湖北卫视,http://idc.zymok.cn:10000/rtp/239.77.1.44:5146
湖北卫视,http://naslmd2.myqnapcloud.com:4022/rtp/239.3.1.138:8044?$北京联通
湖北卫视超清,http://idc.zymok.cn:10000/rtp/239.77.0.128:5146
湖北卫视高清,http://idc.zymok.cn:10000/rtp/239.77.0.95:5146
湖南卫视,http://idc.zymok.cn:10000/rtp/239.77.1.29:5146
湖南卫视,http://naslmd2.myqnapcloud.com:4022/rtp/239.3.1.132:8012?$北京联通
湖南卫视超清,http://idc.zymok.cn:10000/rtp/239.77.0.127:5146
湖南卫视高清,http://idc.zymok.cn:10000/rtp/239.77.0.88:5146
吉林卫视,http://naslmd2.myqnapcloud.com:4022/rtp/239.3.1.240:8172?$北京联通
江苏卫视,http://idc.zymok.cn:10000/rtp/239.77.1.40:5146
江苏卫视,http://naslmd2.myqnapcloud.com:4022/rtp/239.3.1.135:8028?$北京联通
江苏卫视超清,http://idc.zymok.cn:10000/rtp/239.77.0.126:5146
江苏卫视高清,http://idc.zymok.cn:10000/rtp/239.77.0.90:5146
江西卫视,http://idc.zymok.cn:10000/rtp/239.77.1.73:5146
江西卫视,http://naslmd2.myqnapcloud.com:4022/rtp/239.3.1.123:8164?$北京联通
江西卫视高清,http://idc.zymok.cn:10000/rtp/239.77.0.149:5146
辽宁卫视,http://idc.zymok.cn:10000/rtp/239.77.1.62:5146
辽宁卫视,http://naslmd2.myqnapcloud.com:4022/rtp/239.3.1.210:8056?$北京联通
辽宁卫视超清,http://idc.zymok.cn:10000/rtp/239.77.0.161:5146
辽宁卫视高清,http://idc.zymok.cn:10000/rtp/239.77.0.123:5146
辽宁卫视高清,http://idc.zymok.cn:10000/rtp/239.77.1.103:5146
山东卫视,http://idc.zymok.cn:10000/rtp/239.77.1.66:5146
山东卫视,http://naslmd2.myqnapcloud.com:4022/rtp/239.3.1.209:8052?$北京联通
山东卫视超清,http://idc.zymok.cn:10000/rtp/239.77.0.132:5146
山东卫视高清,http://idc.zymok.cn:10000/rtp/239.77.0.94:5146
上海卫视,http://naslmd2.myqnapcloud.com:4022/rtp/239.3.1.136:8032?$北京联通
深圳卫视,http://idc.zymok.cn:10000/rtp/239.77.1.21:5146
深圳卫视,http://naslmd2.myqnapcloud.com:4022/rtp/239.3.1.134:8020?$北京联通
深圳卫视超清,http://idc.zymok.cn:10000/rtp/239.77.0.130:5146
深圳卫视高清,http://idc.zymok.cn:10000/rtp/239.77.0.92:5146
四川卫视,http://idc.zymok.cn:10000/rtp/239.77.1.30:5146
四川卫视超清,http://idc.zymok.cn:10000/rtp/239.77.0.163:5146
四川卫视高清,http://idc.zymok.cn:10000/rtp/239.77.0.159:5146
天津卫视,http://idc.zymok.cn:10000/rtp/239.77.1.37:5146
天津卫视,http://naslmd2.myqnapcloud.com:4022/rtp/239.3.1.141:1234?$北京联通
天津卫视超清,http://idc.zymok.cn:10000/rtp/239.77.0.131:5146
天津卫视高清,http://idc.zymok.cn:10000/rtp/239.77.0.97:5146
云南卫视,http://idc.zymok.cn:10000/rtp/239.77.1.72:5146
云南卫视高清,http://idc.zymok.cn:10000/rtp/239.253.43.100:5146
浙江卫视,http://idc.zymok.cn:10000/rtp/239.77.1.32:5146
浙江卫视,http://naslmd2.myqnapcloud.com:4022/rtp/239.3.1.137:8036?$北京联通
浙江卫视超清,http://idc.zymok.cn:10000/rtp/239.77.0.125:5146
浙江卫视高清,http://idc.zymok.cn:10000/rtp/239.77.0.89:5146
北京频道,#genre#
BTV国际,http://naslmd2.myqnapcloud.com:4022/rtp/239.3.1.235:8000?$北京联通
北京财经,http://naslmd2.myqnapcloud.com:4022/rtp/239.3.1.116:8000?$北京联通
北京冬奥纪实,http://naslmd2.myqnapcloud.com:4022/rtp/239.3.1.243:8000?$北京联通
北京纪实科教,http://naslmd2.myqnapcloud.com:4022/rtp/239.3.1.115:8000?$北京联通
北京卡酷少儿,http://naslmd2.myqnapcloud.com:4022/rtp/239.3.1.189:8000?$北京联通
北京生活,http://naslmd2.myqnapcloud.com:4022/rtp/239.3.1.117:8000?$北京联通
北京文艺,http://naslmd2.myqnapcloud.com:4022/rtp/239.3.1.242:8000?$北京联通
北京新闻,http://naslmd2.myqnapcloud.com:4022/rtp/239.3.1.159:8000?$北京联通
北京影视,http://naslmd2.myqnapcloud.com:4022/rtp/239.3.1.158:8000?$北京联通
睛彩广场舞,http://naslmd2.myqnapcloud.com:4022/rtp/239.3.1.128:8001?$北京联通
淘宝贝,http://naslmd2.myqnapcloud.com:4022/rtp/239.3.1.238:8001?$北京联通
淘电影,http://naslmd2.myqnapcloud.com:4022/rtp/239.3.1.250:8001?$北京联通
淘精彩,http://naslmd2.myqnapcloud.com:4022/rtp/239.3.1.178:8001?$北京联通
淘剧场,http://naslmd2.myqnapcloud.com:4022/rtp/239.3.1.95:8001?$北京联通
淘娱乐,http://naslmd2.myqnapcloud.com:4022/rtp/239.3.1.100:8001?$北京联通
